# 和合本【雅伟】 -- the divine name's Strong's number, H3068 vs H3069.
#
# Source: cuvs+-YHWH.20260912.ont, the editor's module of 2026-09-12
# (md5 f8f547517e5acfaf3dd7f11fde47eb64). That module as a whole is a
# regression -- it drops 2,963 " inside the editor's notes in 1,106
# verses, and puts 主[雅伟] back in Luke 1:70, Acts 5:12 and Rom 15:10,
# which Raymond ruled to be 主<WG0> because WH has no kurios there. So the
# module is NOT installed; these 41 verses are the part of it that is
# right, lifted out and applied on their own.
#
# WHY they are right. H3069 is YHWH pointed as Elohim -- the reading next
# to Adonai; H3068 is the ordinary one. All 41 were checked against this
# project's own Hebrew (bsapp_bible_wlcs, the Leningrad text with
# Westminster's tagging): the module's number agrees with the Hebrew in
# all 41, ours in none. Gen 15:8 is <WH136> Adonai then the name -> H3069;
# Ps 1:2 is the name alone -> H3068. 37 are 3069->3068, 4 are 3068->3069.
#
# Tracked, unlike tools/modules/, which is gitignored: the table IS the
# finding, and is not recoverable from anything else in the repository.
# 'before' must match the row exactly or tools/apply-cuv-audit.py refuses.
# The same edit goes to bsapp_bible_cuvt by tag position -- the two tables
# are ASCII-identical, which the script also checks.
#
# book	chapter	verse	before	after
Ps	141	8	主<WH136>雅伟<WH3068>啊！<WH3588x>我的眼目<WH5869>仰望你<WH413x>；我投靠你<WH2620><WH8804>，求你不要<WH408>将我<WH5315x>撇得孤苦<WH6168><WH8762>。	主<WH136>雅伟<WH3069>啊！<WH3588x>我的眼目<WH5869>仰望你<WH413x>；我投靠你<WH2620><WH8804>，求你不要<WH408>将我<WH5315x>撇得孤苦<WH6168><WH8762>。
Ps	144	3	雅伟<WH3069>啊！人<WH120>算什么<WH4100>，你竟认识他<WH3045><WH8799>！世人<WH1121><WH582>算什么，你竟顾念他<WH2803><WH8762>！	雅伟<WH3068>啊！人<WH120>算什么<WH4100>，你竟认识他<WH3045><WH8799>！世人<WH1121><WH582>算什么，你竟顾念他<WH2803><WH8762>！
Prov	9	10	敬畏<WH3374>雅伟<WH3069>，是智慧的<WH2451>开端<WH8462>；认识<WH1847>至圣者<WH6918>，便是聪明<WH998>。	敬畏<WH3374>雅伟<WH3068>，是智慧的<WH2451>开端<WH8462>；认识<WH1847>至圣者<WH6918>，便是聪明<WH998>。
Prov	14	26	敬畏<WH3374>雅伟<WH3069>的，大有<WH5797>倚靠<WH4009>；他的儿女<WH1121>，也有<WH1961>避难所<WH4268>。	敬畏<WH3374>雅伟<WH3068>的，大有<WH5797>倚靠<WH4009>；他的儿女<WH1121>，也有<WH1961>避难所<WH4268>。
Prov	15	11	阴间<WH7585>和灭亡<WH11>，尚在雅伟<WH3069>眼前<WH5048>，何况<WH637><WH3588>世人的<WH1121><WH120>心<WH3826>呢？	阴间<WH7585>和灭亡<WH11>，尚在雅伟<WH3068>眼前<WH5048>，何况<WH637><WH3588>世人的<WH1121><WH120>心<WH3826>呢？
Prov	16	2	人<WH376>一切<WH3605>所行的<WH1870>，在自己眼中<WH5869>看为清洁<WH2134>；惟有雅伟<WH3069>衡量<WH8505><WH8802>人心<WH7307x>。	人<WH376>一切<WH3605>所行的<WH1870>，在自己眼中<WH5869>看为清洁<WH2134>；惟有雅伟<WH3068>衡量<WH8505><WH8802>人心<WH7307x>。
Prov	17	15	定恶人<WH7563>为义的<WH6663><WH8688>，定义人<WH6662>为恶的<WH7561><WH8688>，这都为<WH1571><WH8147>雅伟<WH3069>所憎恶<WH8441>。	定恶人<WH7563>为义的<WH6663><WH8688>，定义人<WH6662>为恶的<WH7561><WH8688>，这都为<WH1571><WH8147>雅伟<WH3068>所憎恶<WH8441>。
Prov	18	10	雅伟<WH3069>的名<WH8034>，是坚固台<WH4026><WH5797>；义人<WH6662>奔入<WH7323><WH8799>，便得安稳<WH7682><WH8738>。	雅伟<WH3068>的名<WH8034>，是坚固台<WH4026><WH5797>；义人<WH6662>奔入<WH7323><WH8799>，便得安稳<WH7682><WH8738>。
Prov	19	21	人心<WH3820><WH376>多有<WH7227>计谋<WH4284>；惟有雅伟<WH3069>的筹算<WH6098>，才能<WH1931>立定<WH6965><WH8799>。	人心<WH3820><WH376>多有<WH7227>计谋<WH4284>；惟有雅伟<WH3068>的筹算<WH6098>，才能<WH1931>立定<WH6965><WH8799>。
Prov	21	30	没有人<WH369>能以智慧<WH2451>、<WH369x>聪明<WH8394>、<WH369x>谋略<WH6098>敌挡<WH5048x>雅伟<WH3069>。	没有人<WH369>能以智慧<WH2451>、<WH369x>聪明<WH8394>、<WH369x>谋略<WH6098>敌挡<WH5048x>雅伟<WH3068>。
Prov	24	18	恐怕<WH6435>雅伟<WH3069>看见<WH7200><WH8799>就不喜悦<WH7489><WH8804><WH5869>，将怒气<WH639>从仇敌身上转过来<WH7725><WH8689><WH5921>。	恐怕<WH6435>雅伟<WH3068>看见<WH7200><WH8799>就不喜悦<WH7489><WH8804><WH5869>，将怒气<WH639>从仇敌身上转过来<WH7725><WH8689><WH5921>。
Prov	25	22	因为<WH3588>你<WH859>这样行，就是把炭火<WH1513>堆在<WH2846><WH8802>他的头上<WH5921><WH7218>；雅伟<WH3069>也必赏赐你<WH7999><WH8762>。	因为<WH3588>你<WH859>这样行，就是把炭火<WH1513>堆在<WH2846><WH8802>他的头上<WH5921><WH7218>；雅伟<WH3068>也必赏赐你<WH7999><WH8762>。
Prov	28	5	坏人<WH376><WH7451>不明白<WH3808><WH995><WH8799>公义<WH4941>；惟有寻求<WH1245><WH8764>雅伟<WH3069>的，无不明白<WH995><WH8799><WH3605x>。	坏人<WH376><WH7451>不明白<WH3808><WH995><WH8799>公义<WH4941>；惟有寻求<WH1245><WH8764>雅伟<WH3068>的，无不明白<WH995><WH8799><WH3605x>。
Prov	30	9	恐怕<WH6435>我饱足<WH7646><WH8799>不认你<WH3584><WH8765>，说<WH559><WH8804>：‘雅伟<WH3069>是谁<WH4310>呢？’又恐怕<WH6435>我贫穷<WH3423><WH8735>就偷窃<WH1589><WH8804>，以致亵渎<WH8610><WH8804>我神的<WH430>名<WH8034>。	恐怕<WH6435>我饱足<WH7646><WH8799>不认你<WH3584><WH8765>，说<WH559><WH8804>：‘雅伟<WH3068>是谁<WH4310>呢？’又恐怕<WH6435>我贫穷<WH3423><WH8735>就偷窃<WH1589><WH8804>，以致亵渎<WH8610><WH8804>我神的<WH430>名<WH8034>。
Prov	31	30	艳丽<WH2580>是虚假的<WH8267>，美容<WH3308>是虚浮的<WH1892>；惟敬畏<WH3373>雅伟<WH3069>的妇女<WH802>，<WH1931x>必得称赞<WH1984><WH8691>。	艳丽<WH2580>是虚假的<WH8267>，美容<WH3308>是虚浮的<WH1892>；惟敬畏<WH3373>雅伟<WH3068>的妇女<WH802>，<WH1931x>必得称赞<WH1984><WH8691>。
Ezek	34	2	“人子<WH1121><WH120>啊！你要向<WH5921>以色列的<WH3478>牧人<WH7462><WH8802>发预言<WH5012><WH8734>，攻击他们<WH413x><WH7462x><WH8802x>，<WH5012x><WH8734x>说<WH559><WH8804>，主<WH136>雅伟<WH3068>如此<WH3541>说<WH559><WH8804>：祸哉<WH1945>！以色列的<WH3478>牧人<WH7462><WH8802>只知牧养自己<WH834x><WH1961x><WH7462><WH8802><WH853x>。牧人<WH7462><WH8802>岂不<WH3808>当牧养<WH7462><WH8799>群羊<WH6629>吗？	“人子<WH1121><WH120>啊！你要向<WH5921>以色列的<WH3478>牧人<WH7462><WH8802>发预言<WH5012><WH8734>，攻击他们<WH413x><WH7462x><WH8802x>，<WH5012x><WH8734x>说<WH559><WH8804>，主<WH136>雅伟<WH3069>如此<WH3541>说<WH559><WH8804>：祸哉<WH1945>！以色列的<WH3478>牧人<WH7462><WH8802>只知牧养自己<WH834x><WH1961x><WH7462><WH8802><WH853x>。牧人<WH7462><WH8802>岂不<WH3808>当牧养<WH7462><WH8799>群羊<WH6629>吗？
